Probe_Id	Gene_Symbol
ENSMMUG00000019355	ACTL7A
ENSMMUG00000010852	ACTL8
ENSMMUG00000020471	ACTN2
ENSMMUG00000002494	ACTN3
ENSMMUG00000006429	ACTN4
ENSMMUG00000011949	ACTR1A
ENSMMUG00000009732	ACTR1B
ENSMMUG00000002263	ACTR2
ENSMMUG00000018920	ACTR3B
ENSMMUG00000003378	ACTR5
ENSMMUG00000023603	ACTR6
ENSMMUG00000019269	ACTR8
ENSMMUG00000021874	ACTRT3
ENSMMUG00000018497	ACVR1
ENSMMUG00000006200	ACVR1B
ENSMMUG00000003707	ACVR1C
ENSMMUG00000000042	ACVR2A
ENSMMUG00000018790	ACVR2B
ENSMMUG00000004982	ACVRL1
ENSMMUG00000019658	ACY1
ENSMMUG00000018532	ACY3
ENSMMUG00000003126	ACYP1
ENSMMUG00000002152	ACYP2
ENSMMUG00000010603	ADA
ENSMMUG00000017067	ADAL
ENSMMUG00000017507	ADAM10
ENSMMUG00000029927	ADAM11
ENSMMUG00000009661	ADAM12
ENSMMUG00000012921	ADAM17
ENSMMUG00000022134	ADAM18
ENSMMUG00000021549	ADAM19
ENSMMUG00000031545	Adam1a
ENSMMUG00000000202	ADAM20
ENSMMUG00000011084	ADAM21
ENSMMUG00000022695	ADAM22
ENSMMUG00000011641	ADAM23
ENSMMUG00000005317	ADAM28
ENSMMUG00000016363	Adam3
ENSMMUG00000029007	ADAM32
ENSMMUG00000023033	ADAM8
ENSMMUG00000006033	ADAM9
ENSMMUG00000005318	ADAMDEC1
ENSMMUG00000013407	ADAMTS1
ENSMMUG00000016821	ADAMTS10
ENSMMUG00000016226	ADAMTS12
ENSMMUG00000012330	ADAMTS14
ENSMMUG00000003301	ADAMTS15
ENSMMUG00000019205	ADAMTS16
ENSMMUG00000021160	ADAMTS17
ENSMMUG00000000824	ADAMTS18
ENSMMUG00000002480	ADAMTS19
ENSMMUG00000002488	ADAMTS2
ENSMMUG00000017977	ADAMTS3
ENSMMUG00000018132	ADAMTS4
ENSMMUG00000013405	ADAMTS5
ENSMMUG00000018100	ADAMTS6
ENSMMUG00000010716	ADAMTS7
ENSMMUG00000003300	ADAMTS8
ENSMMUG00000000265	ADAMTS9
ENSMMUG00000012131	ADAMTSL1
ENSMMUG00000018393	ADAMTSL1
ENSMMUG00000017203	ADAMTSL2
ENSMMUG00000013670	ADAMTSL3
ENSMMUG00000008218	ADAMTSL4
ENSMMUG00000003815	ADAMTSL5
ENSMMUG00000017064	ADAP1
ENSMMUG00000009077	ADAP2
ENSMMUG00000016093	ADAR
ENSMMUG00000010695	ADARB1
ENSMMUG00000005751	ADAT1
ENSMMUG00000005362	ADAT2
ENSMMUG00000011928	ADAT3
ENSMMUG00000006285	ADC
ENSMMUG00000023627	ADCK1
ENSMMUG00000015282	ADCK2
ENSMMUG00000008636	ADCK3
ENSMMUG00000004228	ADCK4
ENSMMUG00000007376	ADCK5
ENSMMUG00000006421	ADCY1
ENSMMUG00000010380	ADCY10
ENSMMUG00000018742	ADCY2
ENSMMUG00000009600	ADCY3
ENSMMUG00000020698	ADCY4
ENSMMUG00000002230	ADCY5
ENSMMUG00000006253	ADCY6
ENSMMUG00000003118	ADCY7
ENSMMUG00000005299	ADCYAP1R1
ENSMMUG00000008379	ADD1
ENSMMUG00000010592	ADD2
ENSMMUG00000006233	ADD3
ENSMMUG00000013791	ADGB
ENSMMUG00000011059	ADH4
ENSMMUG00000003552	ADH5
ENSMMUG00000015966	ADH6
ENSMMUG00000011253	ADH7
ENSMMUG00000000887	ADHFE1
ENSMMUG00000019471	ADI1
ENSMMUG00000002684	ADIPOQ
ENSMMUG00000007046	ADIPOR1
ENSMMUG00000017262	ADIPOR2
ENSMMUG00000022237	ADK
ENSMMUG00000016387	ADM
ENSMMUG00000019641	ADM2
ENSMMUG00000002761	ADNP
ENSMMUG00000013710	ADNP2
ENSMMUG00000030528	ADO
ENSMMUG00000008714	ADORA1
ENSMMUG00000000261	ADORA2A
ENSMMUG00000020399	ADORA2B
ENSMMUG00000011309	ADPGK
ENSMMUG00000000900	ADPRH
ENSMMUG00000012030	ADPRHL2
ENSMMUG00000013834	ADPRM
ENSMMUG00000023112	ADRA1A
ENSMMUG00000005691	ADRA1B
ENSMMUG00000005316	ADRA2A
ENSMMUG00000002214	ADRB2
ENSMMUG00000005876	ADRB3
ENSMMUG00000015925	ADRBK1
ENSMMUG00000023790	ADRBK2
ENSMMUG00000012626	ADRM1
ENSMMUG00000000016	ADSS
ENSMMUG00000004347	ADTRP
ENSMMUG00000016243	AEBP2
ENSMMUG00000012923	AFAP1
ENSMMUG00000021660	AFAP1L1
ENSMMUG00000022523	AFAP1L2
ENSMMUG00000014076	AFF1
ENSMMUG00000000466	AFF2
ENSMMUG00000022836	AFF3
ENSMMUG00000021125	AFG3L2
ENSMMUG00000002268	AFMID
ENSMMUG00000006503	AFTPH
ENSMMUG00000009346	AGAP1
ENSMMUG00000023690	AGAP2
ENSMMUG00000009546	AGAP3
ENSMMUG00000012881	AGBL2
ENSMMUG00000006530	AGBL3
ENSMMUG00000016044	AGBL5
ENSMMUG00000018442	AGER
ENSMMUG00000013247	AGFG1
ENSMMUG00000021356	AGGF1
ENSMMUG00000021017	AGK
ENSMMUG00000021441	AGL
ENSMMUG00000004975	AGMO
ENSMMUG00000018434	AGPAT1
ENSMMUG00000020990	AGPAT2
ENSMMUG00000018668	AGPAT5
ENSMMUG00000010738	AGPHD1
ENSMMUG00000008502	AGPS
ENSMMUG00000017050	AGR2
ENSMMUG00000016017	AGR3
ENSMMUG00000000838	AGRN
ENSMMUG00000005881	AGT
ENSMMUG00000008801	AGTPBP1
ENSMMUG00000020680	AGTR1
ENSMMUG00000023420	AGTR2
ENSMMUG00000004677	AGTRAP
ENSMMUG00000003997	AGXT2L2
ENSMMUG00000016408	AHCTF1
ENSMMUG00000005138	AHCY
ENSMMUG00000022715	AHCYL1
ENSMMUG00000019358	AHCYL2
ENSMMUG00000009868	AHDC1
ENSMMUG00000009368	AHI1
ENSMMUG00000012203	AHR
ENSMMUG00000000752	AHRR
ENSMMUG00000013554	AHSA1
ENSMMUG00000019134	AICDA
ENSMMUG00000005296	AIF1
ENSMMUG00000032055	AIF1L
ENSMMUG00000004954	AIFM1
ENSMMUG00000006392	AIFM2
ENSMMUG00000020478	AIFM3
ENSMMUG00000006430	AIG1
ENSMMUG00000008120	AIM1
ENSMMUG00000004492	AIM2
ENSMMUG00000030420	AIMP2
ENSMMUG00000011817	AIP
ENSMMUG00000017759	AIPL1
ENSMMUG00000004168	AIRE
ENSMMUG00000008475	AJUBA
ENSMMUG00000013998	AK1
ENSMMUG00000006284	AK2
ENSMMUG00000000143	AK3
ENSMMUG00000001079	AK4
ENSMMUG00000020218	AK5
ENSMMUG00000003397	AK7
ENSMMUG00000009916	AK8
ENSMMUG00000012644	AKAP1
ENSMMUG00000030279	AKAP10
ENSMMUG00000023083	AKAP11
ENSMMUG00000023265	AKAP12
ENSMMUG00000011251	AKAP13
ENSMMUG00000012384	AKAP14
ENSMMUG00000002361	AKAP2/PALM2-AKAP2
ENSMMUG00000020812	AKAP3
ENSMMUG00000023060	AKAP4
ENSMMUG00000015128	AKAP6
ENSMMUG00000000577	AKAP7
ENSMMUG00000017984	AKAP8
ENSMMUG00000021382	AKAP8L
ENSMMUG00000002364	AKAP9
ENSMMUG00000020537	AKD1
ENSMMUG00000001994	AKIP1
ENSMMUG00000002824	AKIRIN2
ENSMMUG00000008018	AKNA
ENSMMUG00000010159	AKNAD1
ENSMMUG00000000917	AKR1B1
ENSMMUG00000006126	AKR1B1
ENSMMUG00000013098	AKR1B10
ENSMMUG00000019891	Akr1c14
ENSMMUG00000023280	AKR1C3
ENSMMUG00000007932	AKR1C4
ENSMMUG00000002473	AKR1E2
ENSMMUG00000006697	AKR7A3
ENSMMUG00000001044	AKT1
ENSMMUG00000011625	AKT1S1
ENSMMUG00000003621	AKT2
ENSMMUG00000019995	AKT3
ENSMMUG00000008657	AKTIP
ENSMMUG00000031965	ALAD
ENSMMUG00000005596	ALAS1
ENSMMUG00000008429	ALAS2
ENSMMUG00000003827	ALB
ENSMMUG00000009107	ALCAM
ENSMMUG00000022117	ALDH16A1
ENSMMUG00000003102	ALDH18A1
ENSMMUG00000013303	ALDH1A1
ENSMMUG00000019504	ALDH1A2
ENSMMUG00000006659	ALDH1A3
ENSMMUG00000013057	ALDH1B1
ENSMMUG00000012488	ALDH1L1
ENSMMUG00000005797	ALDH1L2
ENSMMUG00000008336	ALDH2
ENSMMUG00000001328	ALDH3A1
ENSMMUG00000014130	ALDH3A2
ENSMMUG00000023188	ALDH3B1
ENSMMUG00000004751	ALDH4A1
ENSMMUG00000019368	ALDH5A1
ENSMMUG00000012684	ALDH6A1
ENSMMUG00000029428	ALDH8A1
ENSMMUG00000000983	ALDOA
ENSMMUG00000023796	ALDOB
ENSMMUG00000020322	ALDOC
ENSMMUG00000007494	ALG1
ENSMMUG00000001214	ALG10B
ENSMMUG00000023641	ALG14
ENSMMUG00000010662	ALG2
ENSMMUG00000018951	ALG3
ENSMMUG00000003585	ALG5
ENSMMUG00000020046	ALG6
ENSMMUG00000014003	ALG9
ENSMMUG00000023626	ALKBH1
ENSMMUG00000006956	ALKBH2
ENSMMUG00000012022	ALKBH4
ENSMMUG00000018352	ALKBH5
ENSMMUG00000019700	ALKBH6
ENSMMUG00000000054	ALKBH7
ENSMMUG00000005437	ALKBH8
ENSMMUG00000002819	ALMS1
ENSMMUG00000016264	ALOX12
ENSMMUG00000007535	Alox12e
ENSMMUG00000030381	ALOX15
ENSMMUG00000009995	ALOX15B
ENSMMUG00000013434	ALOX5
ENSMMUG00000005572	ALOX5AP
ENSMMUG00000019850	ALOXE3
ENSMMUG00000014073	ALPK1
ENSMMUG00000002217	ALPL
ENSMMUG00000018155	ALS2
ENSMMUG00000021247	ALS2CL
ENSMMUG00000018144	ALS2CR11
ENSMMUG00000018356	ALS2CR12
ENSMMUG00000031857	ALX3
ENSMMUG00000013097	ALX4
ENSMMUG00000012884	ALYREF
ENSMMUG00000013467	AMACR
ENSMMUG00000011526	AMBRA1
ENSMMUG00000009304	AMDHD1
ENSMMUG00000019095	AMDHD2
ENSMMUG00000004309	AMER1
ENSMMUG00000020837	AMER2
ENSMMUG00000019008	AMER3
ENSMMUG00000020037	AMHR2
ENSMMUG00000006268	AMICA1
ENSMMUG00000005817	AMIGO1
ENSMMUG00000012458	AMIGO2
ENSMMUG00000014582	AMIGO3
ENSMMUG00000023423	AMMECR1
ENSMMUG00000011180	AMN1
ENSMMUG00000007688	AMOT
ENSMMUG00000021694	AMOTL2
ENSMMUG00000001978	AMPD1
ENSMMUG00000005820	AMPD2
ENSMMUG00000015785	AMPD3
